# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.maxCacheSizeInBytes,1705942260855000000,1705942320868000000,302284800
FilePageCache.disposedBuffers,1705942260855000000,1705942320868000000,0
FilePageCache.capacityInBytes,1705942260855000000,1705942320868000000,524288000
StorageLockContext.competingThreads.90P,1705942260855000000,1705942320868000000,0
FilePageCache.pageFastCacheHits,1705942260855000000,1705942320868000000,133
FilePageCache.pageHits,1705942260855000000,1705942320868000000,0
StorageLockContext.competingThreads.max,1705942260855000000,1705942320868000000,0
StorageLockContext.competingThreads.avg,1705942260855000000,1705942320868000000,0.0
FilePageCache.uncachedFileAccess,1705942260855000000,1705942320868000000,0
FilePageCache.totalPageDisposalsUs,1705942260855000000,1705942320868000000,0
DirectByteBufferAllocator.hits,1705942260855000000,1705942320868000000,0
FilePageCache.pageLoads,1705942260855000000,1705942320868000000,0
FilePageCache.totalPageLoadsUs,1705942260855000000,1705942320868000000,0
DirectByteBufferAllocator.disposed,1705942260855000000,1705942320868000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942260855000000,1705942320868000000,0
DirectByteBufferAllocator.reclaimed,1705942260855000000,1705942320868000000,0
DirectByteBufferAllocator.misses,1705942260855000000,1705942320868000000,0
FlushQueue.tasksExecuted,1705942260855000000,1705942320868000000,2301
AWTEventQueue.dispatchTimeMaxNs,1705942260855000000,1705942320868000000,19267583
NonBlockingReadAction.finalizedExecutionTimeUs,1705942260855000000,1705942320868000000,370157
FlushQueue.executionTimeMaxNs,1705942260855000000,1705942320868000000,3981311
AWTEventQueue.eventsDispatched,1705942260855000000,1705942320868000000,2349
FlushQueue.waitingTime90PNs,1705942260855000000,1705942320868000000,231423
NonBlockingReadAction.failedExecutionsCount,1705942260855000000,1705942320868000000,0
FlushQueue.queueSizeMax,1705942260855000000,1705942320868000000,1
NonBlockingReadAction.failedExecutionTimeUs,1705942260855000000,1705942320868000000,0
FlushQueue.waitingTimeMaxNs,1705942260855000000,1705942320868000000,8650751
FlushQueue.executionTime90PNs,1705942260855000000,1705942320868000000,173055
AWTEventQueue.dispatchTime90PNs,1705942260855000000,1705942320868000000,440319
FlushQueue.queueSizeAvg,1705942260855000000,1705942320868000000,0.07648848326814428
AWTEventQueue.dispatchTimeAvgNs,1705942260855000000,1705942320868000000,315824.9535972754
FlushQueue.waitingTimeAvgNs,1705942260855000000,1705942320868000000,178793.25597566276
FlushQueue.executionTimeAvgNs,1705942260855000000,1705942320868000000,102089.4984789222
FlushQueue.queueSize90P,1705942260855000000,1705942320868000000,0
NonBlockingReadAction.finalizedExecutionsCount,1705942260855000000,1705942320868000000,92
FileNameCache.totalMisses,1705942320868000000,1705942380869000000,0
FileNameCache.queries,1705942320868000000,1705942380869000000,2857
FileNameCache.fastMisses,1705942320868000000,1705942380869000000,71
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705942320868000000,1705942380869000000,0
FilePageCache.maxRegisteredFiles,1705942320868000000,1705942380869000000,654
FilePageCache.maxCacheSizeInBytes,1705942320868000000,1705942380869000000,302284800
FilePageCache.disposedBuffers,1705942320868000000,1705942380869000000,0
FilePageCache.capacityInBytes,1705942320868000000,1705942380869000000,524288000
StorageLockContext.competingThreads.90P,1705942320868000000,1705942380869000000,0
FilePageCache.pageFastCacheHits,1705942320868000000,1705942380869000000,418
FilePageCache.pageHits,1705942320868000000,1705942380869000000,15
StorageLockContext.competingThreads.max,1705942320868000000,1705942380869000000,0
StorageLockContext.competingThreads.avg,1705942320868000000,1705942380869000000,0.0
FilePageCache.uncachedFileAccess,1705942320868000000,1705942380869000000,0
FilePageCache.totalPageDisposalsUs,1705942320868000000,1705942380869000000,0
DirectByteBufferAllocator.hits,1705942320868000000,1705942380869000000,0
FilePageCache.pageLoads,1705942320868000000,1705942380869000000,0
FilePageCache.totalPageLoadsUs,1705942320868000000,1705942380869000000,0
DirectByteBufferAllocator.disposed,1705942320868000000,1705942380869000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942320868000000,1705942380869000000,0
DirectByteBufferAllocator.reclaimed,1705942320868000000,1705942380869000000,0
DirectByteBufferAllocator.misses,1705942320868000000,1705942380869000000,0
FlushQueue.tasksExecuted,1705942320868000000,1705942380869000000,516
